episode,steps,return,length,success,crash,wall_time
164,10308,-83.559,6,0,1,8.0
165,10313,-87.469,5,0,1,8.1
166,10319,-89.145,6,0,1,8.1
167,10325,-88.685,6,0,1,8.2
168,10346,-31.622,21,0,1,8.5
169,10349,-95.467,3,0,1,8.5
170,10358,-76.813,9,0,1,8.6
171,10364,-82.9,6,0,1,8.7
172,10372,-74.034,8,0,1,8.8
173,10382,-67.802,10,0,1,8.9
174,10385,-93.644,3,0,1,8.9
175,10391,-83.02,6,0,1,9.0
176,10421,-29.179,30,0,1,9.3
177,10424,-91.744,3,0,1,9.4
178,10444,-47.754,20,0,1,9.6
179,10465,-81.494,21,0,1,9.8
180,10476,-97.897,11,0,1,10.0
181,10511,-59.816,35,0,1,10.4
182,10539,-43.129,28,0,1,10.7
183,10557,-70.769,18,0,1,10.9
184,10581,-104.378,24,0,1,11.2
185,10607,-83.549,26,0,1,11.6
186,10650,-74.539,43,0,1,12.2
187,10695,-91.52,45,0,1,13.0
188,10710,-103.039,15,0,1,13.3
189,10724,-76.976,14,0,1,13.6
190,10765,-53.603,41,0,1,14.2
191,10771,-106.227,6,0,1,14.3
192,10780,-114.34,9,0,1,14.4
193,10834,-42.321,54,0,1,15.1
194,10866,-83.463,32,0,1,15.5
195,10886,-71.435,20,0,1,15.7
196,10922,-47.506,36,0,1,16.1
197,10936,-75.421,14,0,1,16.3
198,10984,-43.087,48,0,1,16.9
199,11026,-15.664,42,0,1,18.3
200,11062,-40.449,36,0,1,18.8
201,11102,-22.539,40,0,1,19.4
202,11132,-27.416,30,0,1,19.8
203,11196,-58.642,64,0,1,20.9
204,11240,-29.213,44,0,1,21.5
205,11259,-97.62,19,0,1,21.8
206,11287,-32.106,28,0,1,22.2
207,11327,-27.189,40,0,1,22.8
208,11368,-19.417,41,0,1,23.4
209,11391,-40.317,23,0,1,23.7
210,11429,-19.127,38,0,1,24.2
211,11480,-29.345,51,0,1,24.9
212,11516,-32.089,36,0,1,25.3
213,11570,-11.43,54,0,1,26.0
214,11636,201.73,66,1,0,26.8
215,11886,72.959,250,0,0,29.7
216,11928,-14.08,42,0,1,30.2
217,11984,-19.165,56,0,1,30.8
218,12038,202.398,54,1,0,31.4
219,12084,-20.378,46,0,1,31.9
220,12163,184.852,79,1,0,32.8
221,12195,-33.242,32,0,1,33.2
222,12445,59.704,250,0,0,36.2
223,12695,58.342,250,0,0,39.3
224,12709,-116.863,14,0,1,39.5
225,12757,190.754,48,1,0,40.2
226,12819,-100.962,62,0,1,40.9
227,12859,-131.613,40,0,1,41.5
228,13109,79.606,250,0,0,44.8
229,13290,-62.723,181,0,1,46.9
230,13370,189.515,80,1,0,48.0
231,13620,72.202,250,0,0,51.7
232,13870,64.282,250,0,0,55.0
233,13892,-124.051,22,0,1,55.3
234,13996,-23.913,104,0,1,56.7
235,14246,84.309,250,0,0,60.0
236,14496,80.299,250,0,0,63.2
237,14746,79.892,250,0,0,66.7
238,14996,80.156,250,0,0,70.0
239,15246,81.363,250,0,0,73.3
240,15496,92.646,250,0,0,76.2
241,15527,-15.406,31,0,1,76.5
242,15669,195.853,142,1,0,78.1
243,15749,-16.818,80,0,1,79.1
244,15999,83.631,250,0,0,81.9
245,16249,81.194,250,0,0,84.7
246,16298,-23.215,49,0,1,85.2
247,16548,82.329,250,0,0,88.1
248,16798,70.553,250,0,0,90.8
249,17048,86.512,250,0,0,93.6
250,17224,-46.074,176,0,1,95.6
251,17275,-25.278,51,0,1,96.3
252,17525,97.855,250,0,0,99.8
253,17567,-36.639,42,0,1,100.4
254,17611,-20.95,44,0,1,101.1
255,17684,-38.056,73,0,1,101.9
256,17934,86.211,250,0,0,104.8
257,18184,71.487,250,0,0,108.5
258,18434,77.206,250,0,0,111.4
259,18684,74.157,250,0,0,114.5
260,18934,69.85,250,0,0,117.4
261,18947,-68.919,13,0,1,117.5
262,19197,28.306,250,0,0,120.7
263,19447,89.178,250,0,0,124.5
